,fas
0,0.05714285714285714
1,0.17142857142857143
2,0.05714285714285714
3,0.11428571428571428
4,0.02857142857142857
5,0.05714285714285714
6,0.05714285714285714
7,0.14285714285714285
8,0.14285714285714285
9,0.14285714285714285
10,0.14285714285714285
11,0.14285714285714285
12,0.05714285714285714
13,0.11428571428571428
14,0.14285714285714285
15,0.2
16,0.05714285714285714
17,0.14285714285714285
18,0.05714285714285714
19,0.11428571428571428
20,0.17142857142857143
21,0.17142857142857143
22,0.0
23,0.11428571428571428
24,0.02857142857142857
25,0.11428571428571428
26,0.11428571428571428
27,0.14285714285714285
28,0.17142857142857143
29,0.11428571428571428
30,0.17142857142857143
31,0.11428571428571428
32,0.11428571428571428
33,0.08571428571428572
34,0.14285714285714285
35,0.17142857142857143
36,0.17142857142857143
37,0.02857142857142857
38,0.14285714285714285
39,0.17142857142857143
40,0.11428571428571428
41,0.17142857142857143
42,0.05714285714285714
43,0.08571428571428572
44,0.05714285714285714
45,0.08571428571428572
46,0.14285714285714285
47,0.14285714285714285
48,0.14285714285714285
49,0.14285714285714285
50,0.05714285714285714
51,0.08571428571428572
52,0.11428571428571428
53,0.02857142857142857
54,0.14285714285714285
55,0.11428571428571428
56,0.02857142857142857
57,0.02857142857142857
58,0.14285714285714285
59,0.11428571428571428
60,0.0
61,0.08571428571428572
62,0.08571428571428572
63,0.08571428571428572
64,0.02857142857142857
65,0.17142857142857143
66,0.11428571428571428
67,0.05714285714285714
68,0.02857142857142857
69,0.08571428571428572
70,0.17142857142857143
71,0.2
72,0.08571428571428572
73,0.14285714285714285
74,0.0
75,0.08571428571428572
76,0.11428571428571428
77,0.11428571428571428
78,0.05714285714285714
79,0.14285714285714285
80,0.08571428571428572
81,0.08571428571428572
82,0.14285714285714285
83,0.14285714285714285
84,0.08571428571428572
85,0.17142857142857143
86,0.11428571428571428
87,0.2
88,0.14285714285714285
89,0.14285714285714285
90,0.02857142857142857
91,0.05714285714285714
92,0.08571428571428572
93,0.0
94,0.08571428571428572
95,0.14285714285714285
96,0.05714285714285714
97,0.05714285714285714
98,0.05714285714285714
99,0.11428571428571428
100,0.2
101,0.02857142857142857
102,0.11428571428571428
103,0.14285714285714285
104,0.11428571428571428
105,0.11428571428571428
106,0.05714285714285714
107,0.08571428571428572
108,0.08571428571428572
109,0.05714285714285714
110,0.11428571428571428
111,0.0
112,0.08571428571428572
113,0.05714285714285714
114,0.02857142857142857
115,0.05714285714285714
116,0.02857142857142857
117,0.05714285714285714
118,0.0
119,0.02857142857142857
120,0.11428571428571428
121,0.08571428571428572
122,0.08571428571428572
123,0.17142857142857143
124,0.05714285714285714
125,0.11428571428571428
126,0.0
127,0.0
128,0.05714285714285714
129,0.02857142857142857
130,0.0
131,0.02857142857142857
132,0.11428571428571428
133,0.08571428571428572
134,0.02857142857142857
135,0.02857142857142857
136,0.0
137,0.05714285714285714
138,0.02857142857142857
139,0.05714285714285714
140,0.08571428571428572
141,0.05714285714285714
142,0.05714285714285714
143,0.05714285714285714
144,0.0
145,0.02857142857142857
146,0.05714285714285714
147,0.11428571428571428
148,0.05714285714285714
149,0.14285714285714285
150,0.05714285714285714
151,0.11428571428571428
152,0.05714285714285714
153,0.08571428571428572
154,0.08571428571428572
155,0.14285714285714285
156,0.17142857142857143
157,0.14285714285714285
158,0.17142857142857143
159,0.11428571428571428
160,0.08571428571428572
161,0.14285714285714285
162,0.11428571428571428
163,0.17142857142857143
164,0.05714285714285714
165,0.08571428571428572
166,0.05714285714285714
167,0.11428571428571428
168,0.11428571428571428
169,0.05714285714285714
170,0.11428571428571428
171,0.05714285714285714
172,0.02857142857142857
173,0.08571428571428572
174,0.17142857142857143
175,0.05714285714285714
176,0.14285714285714285
177,0.08571428571428572
178,0.11428571428571428
179,0.17142857142857143
180,0.02857142857142857
181,0.14285714285714285
182,0.11428571428571428
183,0.02857142857142857
184,0.11428571428571428
185,0.08571428571428572
186,0.08571428571428572
187,0.2
188,0.11428571428571428
189,0.08571428571428572
190,0.05714285714285714
191,0.02857142857142857
192,0.0
193,0.08571428571428572
194,0.14285714285714285
195,0.14285714285714285
196,0.14285714285714285
197,0.17142857142857143
198,0.11428571428571428
199,0.08571428571428572
200,0.05714285714285714
201,0.0
202,0.14285714285714285
203,0.05714285714285714
204,0.0
205,0.05714285714285714
206,0.14285714285714285
207,0.14285714285714285
208,0.0
209,0.14285714285714285
210,0.02857142857142857
211,0.08571428571428572
212,0.11428571428571428
213,0.17142857142857143
214,0.08571428571428572
215,0.05714285714285714
216,0.0
217,0.11428571428571428
218,0.05714285714285714
219,0.17142857142857143
220,0.17142857142857143
221,0.17142857142857143
